tumor_id	normal_id	tumor_bam	normal_bam
1	s_C_000045_T001_d	s_C_000045_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000045_T001_d/s_C_000045_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000045_N001_d/s_C_000045_N001_d.bam
2	s_C_000184_T001_d	s_C_000184_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000184_T001_d/s_C_000184_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000184_N001_d/s_C_000184_N001_d.bam
3	s_C_000184_T002_d	s_C_000184_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000184_T002_d/s_C_000184_T002_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000184_N001_d/s_C_000184_N001_d.bam
4	s_C_000195_T001_d	s_C_000195_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000195_T001_d/s_C_000195_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000195_N001_d/s_C_000195_N001_d.bam
5	s_C_000197_T003_d	s_C_000197_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000197_T003_d/s_C_000197_T003_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000197_N001_d/s_C_000197_N001_d.bam
6	s_C_000198_T001_d	s_C_000198_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000198_T001_d/s_C_000198_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000198_N001_d/s_C_000198_N001_d.bam
7	s_C_000200_T001_d	s_C_000200_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000200_T001_d/s_C_000200_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000200_N001_d/s_C_000200_N001_d.bam
8	s_C_000201_T001_d	s_C_000201_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000201_T001_d/s_C_000201_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000201_N001_d/s_C_000201_N001_d.bam
9	s_C_000208_T001_d	s_C_000208_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000208_T001_d/s_C_000208_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000208_N001_d/s_C_000208_N001_d.bam
10	s_C_000213_T001_d	s_C_000213_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000213_T001_d/s_C_000213_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000213_N001_d/s_C_000213_N001_d.bam
11	s_C_000233_T001_d	s_C_000233_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000233_T001_d/s_C_000233_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000233_N001_d/s_C_000233_N001_d.bam
12	s_C_000235_M001_d	s_C_000235_N003_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000235_M001_d/s_C_000235_M001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000235_N003_d/s_C_000235_N003_d.bam
13	s_C_000254_T001_d	s_C_000254_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000254_T001_d/s_C_000254_T001_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000254_N001_d/s_C_000254_N001_d.bam
14	s_C_000257_T002_d	s_C_000257_N001_d	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000257_T002_d/s_C_000257_T002_d.bam	/juno/work/tempo/wes_repo/Results/v1.4.x/cohort_level/CCS_NFCXOZVP/bams/s_C_000257_N001_d/s_C_000257_N001_d.bam
